inputs snt do_max try_min try_max prune slice backend fallback reallocate prog_len prog_saved prog_regs cpu_time
2 batcher False True False True 0 sat False True 4 0 3 0.001029
2 batcher False True False True -1 sat False True 4 0 3 0.000739
2 batcher False True False True 1 sat False True 4 0 3 0.001479
2 batcher False True False True -1 z3 False True 4 0 3 0.000815
2 jgamble_batcher False True False False -1 sat True True 4 0 3 0.019034
2 jgamble_best False True False True 0 sat False True 4 0 3 0.017081
2 jgamble_best False True False True -1 sat False True 4 0 3 0.015059
2 jgamble_best False True False True 1 sat False True 4 0 3 0.021712
2 jgamble_best False True False True -1 z3 False True 4 0 3 0.015847
3 batcher False True False True 0 sat False True 12 0 4 0.004880
3 batcher False True False True 1 sat False True 12 0 4 0.004199
3 batcher False True False True -1 sat False True 12 0 4 0.005046
3 batcher False True False True 1 sat False True 12 0 4 0.013821
3 batcher False True False True -1 z3 False True 12 0 4 0.023539
3 jgamble_batcher False True False False -1 sat True True 12 0 4 0.111156
3 jgamble_best False True False True 0 sat False True 11 1 4 0.021294
3 jgamble_best False True False True -1 sat False True 11 1 4 0.020748
3 jgamble_best False True False True 1 sat False True 11 1 4 0.021338
3 jgamble_best False True False True 1 sat False True 11 1 4 0.025084
3 jgamble_best False True False True -1 z3 False True 11 1 4 0.058047
4 batcher False True False True 0 sat False True 20 0 5 0.005552
4 batcher False True False True 1 sat False True 20 0 5 0.004951
4 batcher False True False True -1 sat False True 20 0 5 0.005282
4 batcher False True False True 1 sat False True 20 0 5 0.006112
4 batcher False True False True -1 z3 False True 20 0 5 0.028855
4 batcher False True False True 2 sat False True 20 0 5 0.006263
4 jgamble_batcher False True False False -1 sat True True 20 0 5 0.250209
4 jgamble_best False True False True 0 sat False True 20 0 5 0.028361
4 jgamble_best False True False True -1 sat False True 20 0 5 0.026967
4 jgamble_best False True False True 1 sat False True 20 0 5 0.028989
4 jgamble_best False True False True 1 sat False True 20 0 5 0.032368
4 jgamble_best False True False True -1 z3 False True 20 0 5 0.093158
4 jgamble_best False True False True 2 sat False True 20 0 5 0.033970
5 batcher False True False True 0 sat False True 35 1 6 0.029947
5 batcher False True False True -1 sat False True 35 1 6 0.024384
5 batcher False True False True 1 sat False True 36 0 6 0.016990
5 batcher False True False True 1 sat False True 36 0 6 0.017581
5 batcher False True False True 1 sat False True 36 0 6 0.017737
5 batcher False True False True -1 z3 False True 35 1 6 0.154112
5 batcher False True False True 2 sat False True 35 1 6 0.025515
5 jgamble_batcher False True False False -1 sat True True 35 1 6 0.983399
5 jgamble_best False True False True 0 sat False True 33 3 6 0.063916
5 jgamble_best False True False True -1 sat False True 33 3 6 0.054882
5 jgamble_best False True False True 1 sat False True 34 2 6 0.041083
5 jgamble_best False True False True 1 sat False True 34 2 6 0.041206
5 jgamble_best False True False True 1 sat False True 34 2 6 0.042632
5 jgamble_best False True False True -1 z3 False True 33 3 6 0.250481
5 jgamble_best False True False True 2 sat False True 33 3 6 0.049290
6 batcher False True False True 0 sat False True 47 1 7 0.039872
6 batcher False True False True -1 sat False True 47 1 7 0.033164
6 batcher False True False True 1 sat False True 48 0 7 0.021286
6 batcher False True False True 1 sat False True 48 0 7 0.022622
6 batcher False True False True 1 sat False True 48 0 7 0.024785
6 batcher False True False True -1 z3 False True 47 1 7 0.203666
6 batcher False True False True 2 sat False True 47 1 7 0.034349
6 batcher False True False True 3 sat False True 47 1 7 0.042985
6 jgamble_batcher False True False False -1 sat True True 47 1 7 1.823241
6 jgamble_best False True False True 0 sat False True 45 3 8 0.077102
6 jgamble_best False True False True -1 sat False True 45 3 8 0.066914
6 jgamble_best False True False True 1 sat False True 46 2 8 0.048004
6 jgamble_best False True False True 1 sat False True 46 2 8 0.049012
6 jgamble_best False True False True 1 sat False True 46 2 8 0.053413
6 jgamble_best False True False True -1 z3 False True 45 3 8 0.297354
6 jgamble_best False True False True 2 sat False True 46 2 8 0.066993
6 jgamble_best False True False True 3 sat False True 45 3 8 0.082638
7 batcher False True False True 0 sat False True 63 1 9 0.091970
7 batcher False True False True -1 sat False True 63 1 9 0.054537
7 batcher False True False True 1 sat False True 64 0 8 0.028931
7 batcher False True False True 1 sat False True 64 0 8 0.029641
7 batcher False True False True 1 sat False True 64 0 8 0.030252
7 batcher False True False True -1 z3 False True 63 1 9 0.282554
7 batcher False True False True 2 sat False True 63 1 9 0.046560
7 batcher False True False True 3 sat False True 63 1 9 0.062399
7 jgamble_batcher False True False False -1 sat True True 63 1 9 3.798125
7 jgamble_best False True False True 0 sat False True 60 4 9 0.132513
7 jgamble_best False True False True -1 sat False True 60 4 9 0.111965
7 jgamble_best False True False True 1 sat False True 63 1 9 0.066528
7 jgamble_best False True False True 1 sat False True 63 1 9 0.073220
7 jgamble_best False True False True 1 sat False True 63 1 9 0.081154
7 jgamble_best False True False True -1 z3 False True 60 4 9 0.508122
7 jgamble_best False True False True 2 sat False True 61 3 9 0.110464
7 jgamble_best False True False True 3 sat False True 60 4 9 0.108558
8 batcher False True False True 0 sat False True 75 1 10 0.105596
8 batcher False True False True -1 sat False True 75 1 10 0.088367
8 batcher False True False True 1 sat False True 76 0 9 0.032503
8 batcher False True False True 1 sat False True 76 0 9 0.035664
8 batcher False True False True 1 sat False True 76 0 9 0.038319
8 batcher False True False True -1 z3 False True 75 1 10 0.407097
8 batcher False True False True 2 sat False True 75 1 10 0.046548
8 batcher False True False True 2 sat False True 75 1 10 0.052876
8 batcher False True False True 4 sat False True 75 1 10 0.104391
8 jgamble_batcher False True False False -1 sat True True 75 1 10 5.261965
8 jgamble_best False True False True 0 sat False True 75 1 10 0.183204
8 jgamble_best False True False True -1 sat False True 75 1 10 0.144905
8 jgamble_best False True False True 1 sat False True 76 0 9 0.071127
8 jgamble_best False True False True 1 sat False True 76 0 9 0.078544
8 jgamble_best False True False True 1 sat False True 76 0 9 0.081844
8 jgamble_best False True False True -1 z3 False True 75 1 10 0.603036
8 jgamble_best False True False True 2 sat False True 75 1 10 0.101600
8 jgamble_best False True False True 2 sat False True 75 1 10 0.108028
8 jgamble_best False True False True 4 sat False True 75 1 10 0.184991
9 batcher False True False True 0 sat False True 101 3 11 0.226293
9 batcher False True False True -1 sat False True 101 3 11 0.167898
9 batcher False True False True 1 sat False True 104 0 10 0.070173
9 batcher False True False True 1 sat False True 104 0 10 0.072133
9 batcher False True False True 1 sat False True 104 0 10 0.079070
9 batcher False True False True -1 z3 False True 101 3 11 0.756975
9 batcher False True False True 2 sat False True 102 2 11 0.103668
9 batcher False True False True 3 sat False True 101 3 11 0.197397
9 batcher False True False True 4 sat False True 101 3 11 0.193670
9 jgamble_batcher False True False False -1 sat True True 101 3 11 13.396205
9 jgamble_best False True False True 0 sat False True 99 1 11 0.284993
9 jgamble_best False True False True 1 sat False True 100 0 10 0.092984
9 jgamble_best False True False True 1 sat False True 100 0 10 0.095631
9 jgamble_best False True False True 1 sat False True 100 0 10 0.097284
9 jgamble_best False True False True -1 sat False True 99 1 11 0.222361
9 jgamble_best False True False True -1 z3 False True 99 1 11 0.848849
9 jgamble_best False True False True 2 sat False True 100 0 10 0.121096
9 jgamble_best False True False True 3 sat False True 100 0 10 0.180513
9 jgamble_best False True False True 4 sat False True 99 1 11 0.194535
10 batcher False True False True 0 sat False True 120 4 13 0.335656
10 batcher False True False True -1 sat False True 120 4 13 0.253619
10 batcher False True False True 1 sat False True 124 0 11 0.096361
10 batcher False True False True 1 sat False True 124 0 11 0.100981
10 batcher False True False True -1 z3 False True 120 4 13 1.054356
10 batcher False True False True 2 sat False True 121 3 13 0.147510
10 batcher False True False True 2 sat False True 121 3 13 0.156828
10 batcher False True False True 3 sat False True 120 4 13 0.221515
10 batcher False True False True 5 sat False True 120 4 13 0.298673
10 jgamble_batcher False True False False -1 sat True True 120 4 13 20.311519
10 jgamble_best False True False True 0 sat False True 116 0 11 0.257641
10 jgamble_best False True False True 1 sat False True 116 0 11 0.097343
10 jgamble_best False True False True 1 sat False True 116 0 11 0.102307
10 jgamble_best False True False True -1 sat False True 116 0 11 0.166118
10 jgamble_best False True False True -1 z3 False True 116 0 11 0.625290
10 jgamble_best False True False True 2 sat False True 116 0 11 0.128300
10 jgamble_best False True False True 2 sat False True 116 0 11 0.132526
10 jgamble_best False True False True 3 sat False True 116 0 11 0.151310
10 jgamble_best False True False True 5 sat False True 116 0 11 0.195942
11 batcher False True False True 0 sat False True 143 5 13 0.456347
11 batcher False True False True -1 sat False True 143 5 13 0.317307
11 batcher False True False True 1 sat False True 148 0 12 0.122680
11 batcher False True False True 1 sat False True 148 0 12 0.130311
11 batcher False True False True -1 z3 False True 143 5 13 1.422010
11 batcher False True False True 2 sat False True 145 3 13 0.210542
11 batcher False True False True 2 sat False True 145 3 13 0.263934
11 batcher False True False True 3 sat False True 143 5 13 0.278123
11 batcher False True False True 5 sat False True 143 5 13 0.376263
11 jgamble_batcher False True False False -1 sat True True 143 5 13 32.580139
11 jgamble_best False True False True 0 sat False True 140 0 12 0.481005
11 jgamble_best False True False True 1 sat False True 140 0 12 0.141594
11 jgamble_best False True False True 1 sat False True 140 0 12 0.152706
11 jgamble_best False True False True -1 sat False True 140 0 12 0.339062
11 jgamble_best False True False True -1 z3 False True 140 0 12 1.356750
11 jgamble_best False True False True 2 sat False True 140 0 12 0.185382
11 jgamble_best False True False True 2 sat False True 140 0 12 0.225866
11 jgamble_best False True False True 3 sat False True 140 0 12 0.275562
11 jgamble_best False True False True 5 sat False True 140 0 12 0.392393
12 batcher False True False True 0 sat False True 159 5 15 0.577791
12 batcher False True False True -1 sat False True 159 5 15 0.386373
12 batcher False True False True 1 sat False True 164 0 13 0.141533
12 batcher False True False True -1 z3 False True 159 5 15 1.697495
12 batcher False True False True 2 sat False True 161 3 15 0.244362
12 batcher False True False True 2 sat False True 161 3 15 0.252834
12 batcher False True False True 3 sat False True 160 4 15 0.296100
12 batcher False True False True 4 sat False True 159 5 15 0.366552
12 batcher False True False True 6 sat False True 159 5 15 0.526721
12 jgamble_batcher False True False False -1 sat True True 159 5 15 40.521127
12 jgamble_best False True False True 0 sat False True 156 0 13 0.610177
12 jgamble_best False True False True 1 sat False True 156 0 13 0.172143
12 jgamble_best False True False True -1 sat False True 156 0 13 0.412157
12 jgamble_best False True False True -1 z3 False True 156 0 13 1.510989
12 jgamble_best False True False True 2 sat False True 156 0 13 0.242545
12 jgamble_best False True False True 2 sat False True 156 0 13 0.248217
12 jgamble_best False True False True 3 sat False True 156 0 13 0.341800
12 jgamble_best False True False True 4 sat False True 156 0 13 0.439023
